,Tweets,created_at,geo,coordinates,place,lang,entities
0,@aliialhasani والاهم من هذا كله يجيبوا نوع واحد من اللقاح لأنه راح يصير ايام ازمة وفوق بعض وايام فاضية.,2021-05-06 22:40:04,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aliialhasani', 'name': 'العملاق اللطيف 𓂆', 'id': 328478019, 'id_str': '328478019', 'indices': [0, 13]}], 'urls': []}"
1,"@TawakkalnaApp  انا أخدت اللقاح ومفيش تحديث على البرنامج انى أخدت 
ماذال لم تثبت أصابه",2021-05-06 22:13:26,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TawakkalnaApp', 'name': 'تطبيق توكلنا', 'id': 1246005840970219520, 'id_str': '1246005840970219520', 'indices': [0, 14]}], 'urls': []}"
2,"RT @JordanZad1: #عاجل الخرابشة يرد على تقرير يقول ان موجة COVID الثالثة ستقتل 60 إلى 70٪ من الأشخاص الذين تناولوا جرعتي اللقاح
https://t.co…",2021-05-06 21:57:37,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [16, 21]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JordanZad1', 'name': 'زاد الأردن الإخباري', 'id': 286722945, 'id_str': '286722945', 'indices': [3, 14]}], 'urls': []}"
3,"إذا الحكومة بدها تلغي مواعيد أخذ اللقاحات وتخلي اللي مسجل يروح يتطعم في مليون إشي بدو ينعمل قبل:

🔴 زيادة مراكز الت… https://t.co/ENjAiqyEsO",2021-05-06 21:54:19,,,"Place(_api=<tweepy.api.API object at 0x00000206A70C4250>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000206A70C4250>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ENjAiqyEsO', 'expanded_url': 'https://twitter.com/i/web/status/1390424715379056642', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,"RT @Dr_abdoty: ليش ناخذ اللقاح؟
شنو الهدف منه؟ https://t.co/4gDM4yxTB5",2021-05-06 21:39:05,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dr_abdoty', 'name': 'د. محمد نبيل الصفي', 'id': 177957575, 'id_str': '177957575', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1379507880248893441, 'id_str': '1379507880248893441', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'url': 'https://t.co/4gDM4yxTB5', 'display_url': 'pic.twitter.com/4gDM4yxTB5', 'expanded_url': 'https://twitter.com/Dr_abdoty/status/1379507978664095746/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1379507978664095746, 'source_status_id_str': '1379507978664095746', 'source_user_id': 177957575, 'source_user_id_str': '177957575'}]}"
5,"RT @Dr_abdoty: ليش ناخذ اللقاح؟
شنو الهدف منه؟ https://t.co/4gDM4yxTB5",2021-05-06 21:26:56,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dr_abdoty', 'name': 'د. محمد نبيل الصفي', 'id': 177957575, 'id_str': '177957575', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1379507880248893441, 'id_str': '1379507880248893441', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'url': 'https://t.co/4gDM4yxTB5', 'display_url': 'pic.twitter.com/4gDM4yxTB5', 'expanded_url': 'https://twitter.com/Dr_abdoty/status/1379507978664095746/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1379507978664095746, 'source_status_id_str': '1379507978664095746', 'source_user_id': 177957575, 'source_user_id_str': '177957575'}]}"
6,"RT @Dr_abdoty: ليش ناخذ اللقاح؟
شنو الهدف منه؟ https://t.co/4gDM4yxTB5",2021-05-06 21:17:47,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dr_abdoty', 'name': 'د. محمد نبيل الصفي', 'id': 177957575, 'id_str': '177957575', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1379507880248893441, 'id_str': '1379507880248893441', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'url': 'https://t.co/4gDM4yxTB5', 'display_url': 'pic.twitter.com/4gDM4yxTB5', 'expanded_url': 'https://twitter.com/Dr_abdoty/status/1379507978664095746/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1379507978664095746, 'source_status_id_str': '1379507978664095746', 'source_user_id': 177957575, 'source_user_id_str': '177957575'}]}"
7,"موظفو»شركات التأمين» يقبلون  على تلقي اللقاح لـ«كورونا»
https://t.co/TRihiQ66Vf

#الأردن
#جريدة_الدستور_الأردنية",2021-05-06 21:02:23,,,,ar,"{'hashtags': [{'text': 'الأردن', 'indices': [81, 88]}, {'text': 'جريدة_الدستور_الأردنية', 'indices': [89, 112]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TRihiQ66Vf', 'expanded_url': 'https://www.addustour.com/articles/1216486-%D9%85%D9%88%D8%B8%D9%81%D9%88%C2%BB%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%A3%D9%85%D9%8A%D9%86%C2%BB-%D9%8A%D9%82%D8%A8%D9%84%D9%88%D9%86-%D8%B9%D9%84%D9%89-%D8%AA%D9%84%D9%82%D9%8A-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD-%D9%84%D9%80%C2%AB%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7%C2%BB', 'display_url': 'addustour.com/articles/12164…', 'indices': [56, 79]}]}"
8,"الصحة: اللقاح يحمي من الفيروس بأنواعه المتحورة
#عاجل

 https://t.co/b8ram8pWYR",2021-05-06 20:49:06,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [47, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/b8ram8pWYR', 'expanded_url': 'https://www.khaberni.com/news/420957', 'display_url': 'khaberni.com/news/420957', 'indices': [55, 78]}]}"
9,"حاولت اليوم الاتصال ب بيل غيتس من خلال الشريحة
 التي أملكها بعد أخذي اللقاح البريطاني .",2021-05-06 20:23:24,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
