Tweets,created_at,geo,coordinates,place,lang,entities
RT @izaatreh: حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابداً,2021-04-30 23:58:01,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'izaatreh', 'name': 'زعاترة', 'id': 784863427, 'id_str': '784863427', 'indices': [3, 12]}], 'urls': []}"
RT @izaatreh: حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابداً,2021-04-30 23:57:49,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'izaatreh', 'name': 'زعاترة', 'id': 784863427, 'id_str': '784863427', 'indices': [3, 12]}], 'urls': []}"
RT @izaatreh: حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابداً,2021-04-30 23:56:52,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'izaatreh', 'name': 'زعاترة', 'id': 784863427, 'id_str': '784863427', 'indices': [3, 12]}], 'urls': []}"
RT @izaatreh: حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابداً,2021-04-30 23:55:26,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'izaatreh', 'name': 'زعاترة', 'id': 784863427, 'id_str': '784863427', 'indices': [3, 12]}], 'urls': []}"
RT @izaatreh: حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابداً,2021-04-30 23:55:17,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'izaatreh', 'name': 'زعاترة', 'id': 784863427, 'id_str': '784863427', 'indices': [3, 12]}], 'urls': []}"
RT @izaatreh: حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابداً,2021-04-30 23:54:59,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'izaatreh', 'name': 'زعاترة', 'id': 784863427, 'id_str': '784863427', 'indices': [3, 12]}], 'urls': []}"
حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابداً,2021-04-30 23:54:29,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
@mohgovjo هل في خدمة تلقيح لكبار السن في المنزل ؟! اذا فيه ماهي الية التسجيل ؟! ومانوع اللقاح ؟!,2021-04-30 22:07:53,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mohgovjo', 'name': 'وزارة الصحة الأردنية', 'id': 745581936421257216, 'id_str': '745581936421257216', 'indices': [0, 9]}], 'urls': []}"
@ineual يادي البلاوي الي ورا بعضيها .. شو نعمل طيب؟ ناخد اللقاح ولا لا؟ و اي نوع؟؟؟,2021-04-30 20:21:43,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ineual', 'name': 'إبراهيم', 'id': 512292179, 'id_str': '512292179', 'indices': [0, 7]}], 'urls': []}"
اللي اخد اللقاح هاي الفترة شو نوع اللي اخدتوه؟؟,2021-04-30 20:11:42,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
"خبراء: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي
https://t.co/Od3dmtPsCK
#احداث_اليوم #الأردن #كورونا",2021-04-30 19:04:06,,,,ar,"{'hashtags': [{'text': 'احداث_اليوم', 'indices': [75, 87]}, {'text': 'الأردن', 'indices': [88, 95]}, {'text': 'كورونا', 'indices': [96, 103]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Od3dmtPsCK', 'expanded_url': 'https://www.ahdath24.com/article/260182', 'display_url': 'ahdath24.com/article/260182', 'indices': [51, 74]}]}"
"#عاجل:

(لقاء الأسبوع)

عزمي محافظة: الحظر الجزئي غير مفيد.. كورونا أكثر انتشارا بالبيوت.. تلقي المطعوم مسألة أخلاق… https://t.co/HiZUcDD4G5",2021-04-30 18:59:15,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HiZUcDD4G5', 'expanded_url': 'https://twitter.com/i/web/status/1388206331862061057', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
على البعض أخذ اللقاح في منطقة الرأس بلكي المخ اشتغل https://t.co/CmnWzr7spp,2021-04-30 18:06:29,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CmnWzr7spp', 'expanded_url': 'https://twitter.com/Fahad5Sss/status/1387937231793496065', 'display_url': 'twitter.com/Fahad5Sss/stat…', 'indices': [52, 75]}]}"
خبراء تربويُّون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي https://t.co/rghzyKOAgQ,2021-04-30 17:30:58,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rghzyKOAgQ', 'expanded_url': 'http://factjo.com/news.aspx?Id=122330#.YIw-zjcBHsg.twitter', 'display_url': 'factjo.com/news.aspx?Id=1…', 'indices': [61, 84]}]}"
