,Tweets,created_at,geo,coordinates,place,lang,entities
0,في مئوية الدوله..بعملوا حملات تطوع ع حد يطعم علماً أنه ولا حد قابل يطَّعم وفوق هيك مطاعيم مافي بالبلد 🤦🏻‍♂️,2021-04-10 17:10:14,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
1,"RT @enad_th: لقد خلقنا الانسان في احسن تقويم 

خلق الله جسم الانسان واحسن خلقه دون لقاحات ودون اضافات 
عاش البشر الالاف السنين دون مطاعيم ل…",2021-04-10 13:32:39,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'enad_th', 'name': 'Enad altahrawi', 'id': 486427409, 'id_str': '486427409', 'indices': [3, 11]}], 'urls': []}"
2,"RT @alrai: #عاجل الصحة: جميع من هم فوق سن الـ50 من المسجلين في المنصة تلقوا مطاعيم كورونا ووصلنا لمن هم في سن الـ 20 في بعض المناطق

#صحيفة…",2021-04-08 09:25:50,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [11, 16]}], 'symbols': [], 'user_mentions': [{'screen_name': 'alrai', 'name': 'الرأي - أخبار الأردن', 'id': 84311137, 'id_str': '84311137', 'indices': [3, 9]}], 'urls': []}"
3,"#عاجل الصحة: جميع من هم فوق سن الـ50 من المسجلين في المنصة تلقوا مطاعيم كورونا ووصلنا لمن هم في سن الـ 20 في بعض المناطق

#صحيفة_الراي",2021-04-08 09:17:05,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}, {'text': 'صحيفة_الراي', 'indices': [122, 134]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
4,@hananibrahimsai @NabdApp يا جماعه يبدو انكم غير مدركين انه عندنا اولويات اهم من المطاعيم ....هلكتونا خفوا علينا شو… https://t.co/SzY7L7E0pH,2021-04-07 17:01:38,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hananibrahimsai', 'name': 'Dr. Hanan Ibrahim', 'id': 770385063653609473, 'id_str': '770385063653609473', 'indices': [0, 16]}, {'screen_name': 'NabdApp', 'name': 'تطبيق نبض Nabd App', 'id': 941109194, 'id_str': '941109194', 'indices': [17, 25]}], 'urls': [{'url': 'https://t.co/SzY7L7E0pH', 'expanded_url': 'https://twitter.com/i/web/status/1379841810873393152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
5,"RT @amad_yu: سؤال مشروع بحكم توقيته الذي يأتي مباشرة بعد علمنا بإلغاء شركة فايزر لشحنة من مطاعيم كورونا بسبب تأخر الدفع!

@RHCJO 
@PrimeMin…",2021-04-07 16:23:06,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amad_yu', 'name': 'Dr. Amjad Al-Amad 🇯🇴', 'id': 944230176132648960, 'id_str': '944230176132648960', 'indices': [3, 11]}, {'screen_name': 'RHCJO', 'name': 'RHC', 'id': 1362191299, 'id_str': '1362191299', 'indices': [122, 128]}], 'urls': []}"
6,"سؤال مشروع بحكم توقيته الذي يأتي مباشرة بعد علمنا بإلغاء شركة فايزر لشحنة من مطاعيم كورونا بسبب تأخر الدفع!

@RHCJO… https://t.co/YZA9vsfNhk",2021-04-07 16:03:39,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RHCJO', 'name': 'RHC', 'id': 1362191299, 'id_str': '1362191299', 'indices': [109, 115]}], 'urls': [{'url': 'https://t.co/YZA9vsfNhk', 'expanded_url': 'https://twitter.com/i/web/status/1379827220147998728', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
7,"@ahmad_altarifi9 @BigAhmad_ الواسطات لما واحد يقدم دوره 
طبعاً عامي الصغار يوخو مطاعيم
لكن مش يقدم دورة
٣ اشخاص لحد… https://t.co/XFiEHPBSwO",2021-04-07 09:44:05,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ahmad_altarifi9', 'name': 'Ahmad Al-Tarifi \uf8ff', 'id': 1712555292, 'id_str': '1712555292', 'indices': [0, 16]}, {'screen_name': 'BigAhmad_', 'name': 'Ahmad AlHasan 𓂆 \u200f\uf8ff', 'id': 1198627478325137409, 'id_str': '1198627478325137409', 'indices': [17, 27]}], 'urls': [{'url': 'https://t.co/XFiEHPBSwO', 'expanded_url': 'https://twitter.com/i/web/status/1379731699509161985', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
8,"التربية تطالب بتوفير مطاعيم لـ 5 آلاف مصحح توجيهي
#صحيفة_الرأي #الأردن #عاجل 
https://t.co/U6fq1F9KrM",2021-04-06 18:32:14,,,,ar,"{'hashtags': [{'text': 'صحيفة_الرأي', 'indices': [50, 62]}, {'text': 'الأردن', 'indices': [63, 70]}, {'text': 'عاجل', 'indices': [71, 76]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/U6fq1F9KrM', 'expanded_url': 'http://alrai.com/article/10585391', 'display_url': 'alrai.com/article/105853…', 'indices': [78, 101]}]}"
9,#عاجل لجنة الاوبئة تكشف عن مؤشر ايجابي لعودة الحياة الى طبيعتها بالاردن - الوكيل الاخباري https://t.co/Ei9IIXxffK,2021-04-06 16:06:15,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Ei9IIXxffK', 'expanded_url': 'https://s.alwakeelnews.com/498552', 'display_url': 's.alwakeelnews.com/498552', 'indices': [90, 113]}]}"
