,Tweets,created_at,geo,coordinates,place,lang,entities
0,@abdalnssour السلط فيها مطاعيم اكثر من الاردن 😂😂,2021-04-30 17:58:21,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abdalnssour', 'name': 'Abd Alnssour✈️🇱🇧🇯🇴', 'id': 519872564, 'id_str': '519872564', 'indices': [0, 12]}], 'urls': []}"
1,@EnnabHanadi @khaberni نحط اجراءات تجبر الناس عشان يحترمو انه في اشي اسمه وباء وفي اشي علمي اسمه مطاعيم,2021-04-30 10:04:03,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EnnabHanadi', 'name': 'Hanadi', 'id': 2993709576, 'id_str': '2993709576', 'indices': [0, 12]}, {'screen_name': 'khaberni', 'name': 'خبرني  Khaberni', 'id': 110345797, 'id_str': '110345797', 'indices': [13, 22]}], 'urls': []}"
2,@virolvlog والله يا دكتور احترنا .. مطاعيم الصين عليها كثير علامات استفهام واسترازينيكا بالنسبة للفئة العمرية 20/29… https://t.co/ZsYPPzBOAE,2021-04-29 10:14:13,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'virolvlog', 'name': 'Islam Hussein', 'id': 503402271, 'id_str': '503402271', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/ZsYPPzBOAE', 'expanded_url': 'https://twitter.com/i/web/status/1387711815271034882', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
3,@Andulus @mesho84 بتفق معك ربى ، الحكومة بتنظر علينا فقط عشان تحط الحق على الشعب و هي ما عندها مواعيد و لا مطاعيم ،… https://t.co/n4uNlsU8Eo,2021-04-29 06:35:08,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Andulus', 'name': 'Ruba', 'id': 63238223, 'id_str': '63238223', 'indices': [0, 8]}, {'screen_name': 'mesho84', 'name': 'مشيرة الزيود', 'id': 45519980, 'id_str': '45519980', 'indices': [9, 17]}], 'urls': [{'url': 'https://t.co/n4uNlsU8Eo', 'expanded_url': 'https://twitter.com/i/web/status/1387656679651741696', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,@majedalmajally @lawyertuqa آه والله الحكومة تقريباً كانت مستخدمة قانون الدفاع غلط بس تاخذ قرارات إغلاق فتح.. أما إ… https://t.co/bcKaGw3cDz,2021-04-29 04:29:08,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'majedalmajally', 'name': 'الشاعر \u200fماجد المجالي', 'id': 734006762760765440, 'id_str': '734006762760765440', 'indices': [0, 15]}, {'screen_name': 'lawyertuqa', 'name': 'تقى المجالي🇯🇴', 'id': 3857049327, 'id_str': '3857049327', 'indices': [16, 27]}], 'urls': [{'url': 'https://t.co/bcKaGw3cDz', 'expanded_url': 'https://twitter.com/i/web/status/1387624971699097603', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
5,@tamimii95 فكرتي هي انه في مطاعيم و في مواقع لما كل يوم كل موقع بطعم بطاقته الاستيعابية النوع المتوفر، غير هيك فالع… https://t.co/ZCKbOPltC0,2021-04-28 21:29:27,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tamimii95', 'name': 'Ali Tamimi', 'id': 2247823119, 'id_str': '2247823119', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/ZCKbOPltC0', 'expanded_url': 'https://twitter.com/i/web/status/1387519353801822213', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
6,"RT @abeer83malkawi: ٢٠٠ الف شخص تخلفوا عن الجرعة الأولى من المطعوم 
وبتزعلوا بعدكم
و بعد ناس بتحكي وفروا مطاعيم ...",2021-04-28 18:00:03,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abeer83malkawi', 'name': 'ABEER 🇯🇴🇯🇴', 'id': 3664698912, 'id_str': '3664698912', 'indices': [3, 18]}], 'urls': []}"
7,@RnOMaFeMnO فاتحين فيها مطاعيم,2021-04-28 17:33:58,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RnOMaFeMnO', 'name': '𝐑𝐀𝐍𝐄𝐄𝐍 𝐀𝐋-𝐃𝐀𝐁𝐁𝐀𝐒𝐒 📚', 'id': 610982245, 'id_str': '610982245', 'indices': [0, 11]}], 'urls': []}"
8,RT @rayaa_13: ماشي اجراءات تحفيزية بس وفروا مطاعيم تكفي الكل بالاول !!,2021-04-28 16:50:26,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rayaa_13', 'name': 'Raya', 'id': 501988801, 'id_str': '501988801', 'indices': [3, 12]}], 'urls': []}"
9,RT @AGAbuGhosh: @MusaSaket @Haya_962 انا مسجل من العام الماضي وما وصلني دور، يعني بحقلهم يوقفوني عن العمل بأي حق؟ اللي بسمعك وبقرأ التخبيص…,2021-04-28 15:50:39,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AGAbuGhosh', 'name': 'AbuGhosh', 'id': 1101612565015220224, 'id_str': '1101612565015220224', 'indices': [3, 14]}, {'screen_name': 'MusaSaket', 'name': 'Musa Al Saket | موسى الساكت', 'id': 238280331, 'id_str': '238280331', 'indices': [16, 26]}, {'screen_name': 'Haya_962', 'name': 'Haya Al- Dajah', 'id': 1024707520823222272, 'id_str': '1024707520823222272', 'indices': [27, 36]}], 'urls': []}"
