,Tweets,created_at,geo,coordinates,place,lang,entities
0,@slmoosh5 @ASF4RSAYS متابعة إلي على عيني وراسي وزبونة بحطك فوق راسي. هذول إشي والموضوع هذا إشي ثاني. اسلوب التحدي ا… https://t.co/6MR4YcPDDp,2021-04-09 15:35:59,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'slmoosh5', 'name': '🌺', 'id': 1044619623478505473, 'id_str': '1044619623478505473', 'indices': [0, 9]}, {'screen_name': 'ASF4RSAYS', 'name': 'أصفر', 'id': 1308655409738252290, 'id_str': '1308655409738252290', 'indices': [10, 20]}], 'urls': [{'url': 'https://t.co/6MR4YcPDDp', 'expanded_url': 'https://twitter.com/i/web/status/1380545032529264640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,@larajalamdeh @ASF4RSAYS القصة مش قصة تكميم أفواه ولا مع الحكومة على الشعب. القصة قصة لقاحات. القصة إلها أهمية كبير… https://t.co/sjAZgNplyK,2021-04-09 15:32:28,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'larajalamdeh', 'name': 'لارا الجلامده', 'id': 279003577, 'id_str': '279003577', 'indices': [0, 13]}, {'screen_name': 'ASF4RSAYS', 'name': 'أصفر', 'id': 1308655409738252290, 'id_str': '1308655409738252290', 'indices': [14, 24]}], 'urls': [{'url': 'https://t.co/sjAZgNplyK', 'expanded_url': 'https://twitter.com/i/web/status/1380544147858292744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2,@Basmatalal10 أنا متأكد في إشي غلط. تصريحات الدولة كلها بخصوص اللقاح تطمينية مش العكس. ما بعرف إذا بالفترة الأخيرة تغيرت وجهات النظر 🤷🏻‍♂️.,2021-04-09 10:03:20,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Basmatalal10', 'name': 'Basma Al Majali', 'id': 1192872152594337792, 'id_str': '1192872152594337792', 'indices': [0, 13]}], 'urls': []}"
3,@Basmatalal10 تقرير لوزارة الصحة؟، كيف هيك؟، وزارة الصحة آخر نزلو قالو انو كل اشي تمام بالنسبة ل اللقاح وأوروبا قالت كلو تمام.,2021-04-09 10:00:43,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Basmatalal10', 'name': 'Basma Al Majali', 'id': 1192872152594337792, 'id_str': '1192872152594337792', 'indices': [0, 13]}], 'urls': []}"
4,@MajdalawiYousef صح لانه الاجسام المضادة عندك عالية هسا بعد ٣ شهور بتقدر تاخد اللقاح,2021-04-08 08:12:22,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MajdalawiYousef', 'name': 'يوسف', 'id': 1134117673, 'id_str': '1134117673', 'indices': [0, 16]}], 'urls': []}"
5,الحق على مين يتأخر اللقاح .. وإغلاق المنشآت وتردي الأوضاع الاقتصادية  .. وخسائر المواطنين https://t.co/mTUTRV4wF5,2021-04-07 18:57:08,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mTUTRV4wF5', 'expanded_url': 'https://twitter.com/Raedhalaraj/status/1379813678531379201', 'display_url': 'twitter.com/Raedhalaraj/st…', 'indices': [90, 113]}]}"
6,@rshehadeh5 @Natalalalalie مادبا وبتختاري بأي صحية بدك تاخدي اللقاح,2021-04-06 17:20:40,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rshehadeh5', 'name': 'Rana', 'id': 1000099381050331136, 'id_str': '1000099381050331136', 'indices': [0, 11]}, {'screen_name': 'Natalalalalie', 'name': 'نتالي', 'id': 1578328974, 'id_str': '1578328974', 'indices': [12, 26]}], 'urls': []}"
7,بعد تلقي الجرعة الاولى من اللقاح اليوم بقدر اوصل نزول العدسية ؛ انشالله بعد ٣ اسابيع بعد الجرعة الثانية بوصل المثلث… https://t.co/BYYxXWUYWO,2021-04-06 09:54:19,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BYYxXWUYWO', 'expanded_url': 'https://twitter.com/i/web/status/1379371882995195904', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
8,"- حبوب البي بولين : ""حبوب اللقاح"" بتحتوب حبوب اللقاح او البي بولين على عناصر طبيعية من أهم وظائفها زيادة نشاط وطاقة… https://t.co/QjGDx0F6Dy",2021-04-03 19:59:10,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QjGDx0F6Dy', 'expanded_url': 'https://twitter.com/i/web/status/1378436938802290688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
9,سيبوا اللقاح بحاله مشان الله 💉 https://t.co/8oVkh9Suu3,2021-04-03 17:17:02,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8oVkh9Suu3', 'expanded_url': 'https://twitter.com/alrai/status/1378336513981878273', 'display_url': 'twitter.com/alrai/status/1…', 'indices': [31, 54]}]}"
