,Tweets,created_at,geo,coordinates,place,lang,entities
0,@muira03221501 @AlomoushForat اي دراسة بدها وقت وبدك تاخذي عوامل عدة وارقام واحصاءيات  بعتقد انو اغلب الشعب قبل سنة… https://t.co/Tc18OTHcns,2021-04-09 15:34:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'muira03221501', 'name': 'muşira', 'id': 1379848830762500096, 'id_str': '1379848830762500096', 'indices': [0, 14]}, {'screen_name': 'AlomoushForat', 'name': 'فُرات', 'id': 1096318854295441408, 'id_str': '1096318854295441408', 'indices': [15, 29]}], 'urls': [{'url': 'https://t.co/Tc18OTHcns', 'expanded_url': 'https://twitter.com/i/web/status/1380544770645364740', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,@SmadiAmr يزم عمرو والي بسمعك بقول اللقاح مرمى عندنا والناس مش راضية توخذه,2021-04-09 12:48:18,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SmadiAmr', 'name': 'عمرو الصمادي', 'id': 375624991, 'id_str': '375624991', 'indices': [0, 9]}], 'urls': []}"
2,@triplea87 @AssalaLamaa شكرا دكتور 🙏🏼 عنا في الاردن ما في حريةفي اختيار نوع اللقاح وكمان الجرعة الثانة اصبحت تعطى في الاسبوع السادس,2021-04-08 20:26:55,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'triplea87', 'name': 'Ahmed Abdul Azim', 'id': 40564234, 'id_str': '40564234', 'indices': [0, 10]}, {'screen_name': 'AssalaLamaa', 'name': 'Dr Assala Lamaa', 'id': 2851992821, 'id_str': '2851992821', 'indices': [11, 23]}], 'urls': []}"
3,و بالعكس انا مبسوط انه في ناس بتوخذ اللقاح و جد أغلبهم صحابي بس الفكرة انه متى دوري طب عأي أساس بمشي الدور انه اعطي… https://t.co/imT3ZI7CYC,2021-04-08 20:13:10,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/imT3ZI7CYC', 'expanded_url': 'https://twitter.com/i/web/status/1380252399487569923', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,علما انّه يلي بحكي عنهم من جيلي و اكيد اكيد اكيد بعطي الاولوية للكبار بالعمر و الأطباء و بشكل عام الترتيب الأفضل لأولوية الاشخاص بأخذ اللقاح,2021-04-08 20:13:09,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
5,@AnsamJassar اهلي اخذوا اللقاح في منهم كان يصيبه حرارة او ارهاق او هيك يعني اعراض بسيطة وبتضلها اهون من ما تنصاب كو… https://t.co/GLuvLjzirc,2021-04-08 10:13:26,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnsamJassar', 'name': '﮼انسام،جَسّار', 'id': 809477827796107264, 'id_str': '809477827796107264', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/GLuvLjzirc', 'expanded_url': 'https://twitter.com/i/web/status/1380101472235499520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
6,"عدد الإصابات بين الأردنيين زادت عن 60% وهو ما يعني إصابة ما يقارب 6 ملايين فرد.

وتناول محافظة في حديثه “إلغاء عقد… https://t.co/zlQInqsvjU",2021-04-07 16:35:58,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='002751a62c5f6114', url='https://api.twitter.com/1.1/geo/id/002751a62c5f6114.json', place_type='admin', name='Irbid', full_name='Irbid, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.546435, 32.247619], [36.0871758, 32.247619], [36.0871758, 32.7553607], [35.546435, 32.7553607]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zlQInqsvjU', 'expanded_url': 'https://twitter.com/i/web/status/1379835351833980929', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
7,"@msharayri عشان اللقاح 
https://t.co/x6Ox43zvBm",2021-04-07 15:37:53,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'msharayri', 'name': 'Mohammad AlSharayri', 'id': 2294262132, 'id_str': '2294262132', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/x6Ox43zvBm', 'expanded_url': 'https://twitter.com/AdwaanM/status/1379818980442050565?s=19', 'display_url': 'twitter.com/AdwaanM/status…', 'indices': [24, 47]}]}"
8,@meme1jolyan @skynewsarabia وانا بنفسي شفت نتيجة لناس بعرفهم بفحص الاجسام المضادة قبل وبعد اللقاح و بان بالنتيجة قد… https://t.co/pFlXNXhk8k,2021-04-06 23:58:39,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'meme1jolyan', 'name': 'meme', 'id': 1372262343615389696, 'id_str': '1372262343615389696', 'indices': [0, 12]}, {'screen_name': 'skynewsarabia', 'name': 'سكاي نيوز عربية', 'id': 216289357, 'id_str': '216289357', 'indices': [13, 27]}], 'urls': [{'url': 'https://t.co/pFlXNXhk8k', 'expanded_url': 'https://twitter.com/i/web/status/1379584367329218560', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
9,رابطة الناس الي بستنوا الكل يوخذ اللقاح بعدين بوخذوه,2021-04-06 14:47:08,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
10,@KhasawnehFarah بابا اخدالصيني اول ناس ماحس باشي مع انه عنده امراض بالقلب وبعدالجرعتين فحص اجسام مضاده وكانوا227 ما… https://t.co/8jTnnBfJZh,2021-04-05 20:52:50,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KhasawnehFarah', 'name': 'Farah Khasawneh ✨', 'id': 944529325897994241, 'id_str': '944529325897994241', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/8jTnnBfJZh', 'expanded_url': 'https://twitter.com/i/web/status/1379175219936509956', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
11,"انت قول يا رب 
اللقاح يكون جد بعمل تعديل جيني 
لانه اذا خشومك هضول بضلهن يتوارثن مع الاجيال عبر الزمن مُصيبة.",2021-04-05 15:14:21,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
