,Tweets,created_at,geo,coordinates,place,lang,entities
0,RT @yazanzghoul: هو الشعب الي بفكر الببسي مرض وال7up علاج بدك تقنعه يوخذ لقاح ؟!,2021-04-10 19:24:05,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yazanzghoul', 'name': 'يزن زغول', 'id': 1012050872182943744, 'id_str': '1012050872182943744', 'indices': [3, 15]}], 'urls': []}"
1,RT @yazanzghoul: هو الشعب الي بفكر الببسي مرض وال7up علاج بدك تقنعه يوخذ لقاح ؟!,2021-04-10 16:39:50,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yazanzghoul', 'name': 'يزن زغول', 'id': 1012050872182943744, 'id_str': '1012050872182943744', 'indices': [3, 15]}], 'urls': []}"
2,RT @yazanzghoul: هو الشعب الي بفكر الببسي مرض وال7up علاج بدك تقنعه يوخذ لقاح ؟!,2021-04-10 16:36:42,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yazanzghoul', 'name': 'يزن زغول', 'id': 1012050872182943744, 'id_str': '1012050872182943744', 'indices': [3, 15]}], 'urls': []}"
3,هو الشعب الي بفكر الببسي مرض وال7up علاج بدك تقنعه يوخذ لقاح ؟!,2021-04-10 16:36:20,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
4,ومعناش حق لقاح لهالشعب.. https://t.co/JneBQnVZjl,2021-04-09 15:42:09,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JneBQnVZjl', 'expanded_url': 'https://twitter.com/AlMamlakaTV/status/1380546084926320644', 'display_url': 'twitter.com/AlMamlakaTV/st…', 'indices': [25, 48]}]}"
5,ما فيه لقاح يرجعنا شباب ؟,2021-04-08 20:57:32,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
6,@Princess_saba94 😂😂😂 هظااك ملغم وماخذ لقاح,2021-04-08 14:29:15,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Princess_saba94', 'name': 'Saba Khzaleh ♥️', 'id': 1267759357787283456, 'id_str': '1267759357787283456', 'indices': [0, 16]}], 'urls': []}"
7,ضممت صوتي إلى أصوات جورج كلوني والدكتور محمود يونس وآني لينوكس وشارون ستون وفورست ويتكر وييمي ألادي وبيتر غابرييل و… https://t.co/GjBFJQ6R3F,2021-04-08 08:22:14,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GjBFJQ6R3F', 'expanded_url': 'https://twitter.com/i/web/status/1380073486593486849', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
8,"عدد الإصابات بين الأردنيين زادت عن 60% وهو ما يعني إصابة ما يقارب 6 ملايين فرد.

وتناول محافظة في حديثه “إلغاء عقد… https://t.co/zlQInqsvjU",2021-04-07 16:35:58,,,"Place(_api=<tweepy.api.API object at 0x000002484B2D6490>, id='002751a62c5f6114', url='https://api.twitter.com/1.1/geo/id/002751a62c5f6114.json', place_type='admin', name='Irbid', full_name='Irbid, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002484B2D6490>, type='Polygon', coordinates=[[[35.546435, 32.247619], [36.0871758, 32.247619], [36.0871758, 32.7553607], [35.546435, 32.7553607]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zlQInqsvjU', 'expanded_url': 'https://twitter.com/i/web/status/1379835351833980929', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
9,@mszeidan @Abdd9o يعني أنا مش تحت ال ٣٠ بس الشباب شباب الروح 😂، أخدت جرعة اولى من استرازينيكا  واموري تمام اعراض خف… https://t.co/URgXiwm04Q,2021-04-07 15:33:34,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mszeidan', 'name': 'Mohammad Zeidan 🇯🇴🇵🇸', 'id': 53996791, 'id_str': '53996791', 'indices': [0, 9]}, {'screen_name': 'Abdd9o', 'name': 'Abdullah', 'id': 1009370984930004992, 'id_str': '1009370984930004992', 'indices': [10, 17]}], 'urls': [{'url': 'https://t.co/URgXiwm04Q', 'expanded_url': 'https://twitter.com/i/web/status/1379819648930168833', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
