id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1381100503455653893,1380962535701151747,2021-04-11 07:23:14 Jordan Daylight Time,2021-04-11,07:23:14,+0300,501573337,mohammadburjak,Mohamad Burjak,,@AlMamlakaTV مسؤول ملف كورونا كان قد صرح بأنه سيرد بمعدل ٣٥ الف لقاح اسبوعيا فكيف ستكون وزارة الصحة قادرة على اعطاء ٦٠ الف مطعوم في اليوم؟!  #الكلمة_أمانة  https://t.co/sH8fgRGHCu  https://t.co/1G3FUNImUZ,ar,[],['https://twitter.com/MohammadBurjak/status/1381099869058830337/photo/1'],['https://pbs.twimg.com/media/Eyqnlq5XMAAGgPf.jpg'],0,0,0,['الكلمة_أمانة'],[],https://twitter.com/MohammadBurjak/status/1381100503455653893,False,,1,https://pbs.twimg.com/media/Eyqnlq5XMAAGgPf.jpg,Amman,,,,,,"[{'screen_name': 'AlMamlakaTV', 'name': 'قناة المملكة', 'id': '816213211150188544'}]",,,,
1380932892394717187,1380932892394717187,2021-04-10 20:17:12 Jordan Daylight Time,2021-04-10,20:17:12,+0300,84311137,alrai,الرأي - أخبار الأردن,,عاجل.. مليون و115 الف مواطن سجلوا لتلقي مطعوم كورونا.. وحوالي 431 الفا تلقوا الجرعة الاولى من المطعوم  #صحيفة_الراي #الأردن #كورونا  https://t.co/gGA37vBaKB,ar,[],[],['https://pbs.twimg.com/media/EyoPJOfXMAYorIG.jpg'],0,0,12,"['صحيفة_الراي', 'الأردن', 'كورونا']",[],https://twitter.com/alrai/status/1380932892394717187,False,,1,https://pbs.twimg.com/media/EyoPJOfXMAYorIG.jpg,Amman,,,,,,[],,,,
1380929181035417601,1380929181035417601,2021-04-10 20:02:27 Jordan Daylight Time,2021-04-10,20:02:27,+0300,439149443,basharhawamdeh,Bashar Hawamdeh,,للذين يرفضون أخد مطعوم كورونا..  https://t.co/zn8vopZr3Q,ar,[],[],[],6,0,18,[],[],https://twitter.com/BasharHawamdeh/status/1380929181035417601,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1380916500450664453/pu/img/81VLqiZZH2Mwp1nY.jpg,Amman,,,,,,[],,,,
1380826426329477122,1380826426329477122,2021-04-10 13:14:09 Jordan Daylight Time,2021-04-10,13:14:09,+0300,1375766544127565827,farahetheeb,Farah,,كنت بحكي مع دائرة الأزمات عشان المطعوم سألني كم عمرك حكتله ١٨ بعدين قلتله وك عمري ٢٠ اتخربطت الله ياخدني و قلبت من مكالمة مطعوم لمكالمة ضحك 😂😂😂,ar,[],[],[],1,0,4,[],[],https://twitter.com/farahetheeb/status/1380826426329477122,False,,0,,Amman,,,,,,[],,,,
1380817353781489664,1380817353781489664,2021-04-10 12:38:06 Jordan Daylight Time,2021-04-10,12:38:06,+0300,381365964,jordanengineers,نقابة المهندسين,,لماذا يجب أن أستمر في ارتداء الكمامة حتى بعد استكمال جرعات مطعوم فيروس كورونا المقررة؟  #مطعوم_فيروس_كورونا #المطعوم_وقاية #إلك_وفيد #صحتك_بتهمنا #فيروس_كورونا #الأردن #كورونا_الأردن #كوفيد_19الأردن  https://t.co/c9dx9ogivm,ar,[],[],['https://pbs.twimg.com/media/EymmDd9WUAAFqFD.jpg'],0,0,1,"['مطعوم_فيروس_كورونا', 'المطعوم_وقاية', 'إلك_وفيد', 'صحتك_بتهمنا', 'فيروس_كورونا', 'الأردن', 'كورونا_الأردن', 'كوفيد_19الأردن']",[],https://twitter.com/JordanEngineers/status/1380817353781489664,False,,1,https://pbs.twimg.com/media/EymmDd9WUAAFqFD.jpg,Amman,,,,,,[],,,,
1380762992485208064,1380762992485208064,2021-04-10 09:02:05 Jordan Daylight Time,2021-04-10,09:02:05,+0300,264308291,megf_saud,"Saud Al Nabulsi, Abu Amer",,مطعوم الكورونا لا يبطل الصيام... تقبل الله طاعاتكم  https://t.co/0mRXoZED5c,ar,[],[],['https://pbs.twimg.com/media/Eyl0QexXEAAeIMN.jpg'],0,0,0,[],[],https://twitter.com/MEGF_Saud/status/1380762992485208064,False,,1,https://pbs.twimg.com/media/Eyl0QexXEAAeIMN.jpg,Amman,,,,,,[],,,,
1380653773274689544,1380653773274689544,2021-04-10 01:48:05 Jordan Daylight Time,2021-04-10,01:48:05,+0300,2319616041,maramfaqeih,Maram Faqeih,,قطعت الجبال والوديان منشان اخد مطعوم الكورونا .... الحمد لله لقيت قصة احكيها لاحفادي 😂  #COVID19  #vaccine,ar,[],[],[],1,0,3,"['covid19', 'vaccine']",[],https://twitter.com/MaramFaqeih/status/1380653773274689544,False,,0,,Amman,,,,,,[],,,,
1380551043772248066,1380551043772248066,2021-04-09 18:59:52 Jordan Daylight Time,2021-04-09,18:59:52,+0300,351899737,moealmomani95,Mohammad Almomani,,تحذير بخصوص المطعوم: او عنده تجلطات سابقة مثل تجلطات باوردة القدم او الرئة او عنده اي عوامل تجلطات مثل ادوية منع الحمل او المتلازمات اللي بترفع من التجلطات مثل الحمى الذئابية اي حدا عنده حساسية سابقة للهيبارين  لا ياخذ مطعوم استرازينكا و ما ياخذ الجرعة الثانية لحين ان يثبت العكس,ar,[],[],[],6,16,51,[],[],https://twitter.com/MoeAlmomani95/status/1380551043772248066,False,https://twitter.com/EricTopol/status/1380540172383571974,0,,Amman,,,,,,[],,,,
1380495194093719555,1380495194093719555,2021-04-09 15:17:57 Jordan Daylight Time,2021-04-09,15:17:57,+0300,60041162,majdsleiti,Majd,,تناول نتائج الأبحاث العلمية إعلاميا كارثة في حال عدم ضبطها، لأنها مستحيل أن تكون مُرسلة ومطلقة، ولذلك يجب التركيز على تفاصيلها ومحدداتها. يعني ما في اشي اسمه مطعوم بعمل جلطات. بس في اشي اسمه مطعوم ممكن يعمل جلطات بنسبة كذا في الفئة العمرية كذا، ويجب مقارنته بأخطار الفيروس أيضا.,ar,[],[],[],2,11,102,[],[],https://twitter.com/MajdSleiti/status/1380495194093719555,False,,0,,Amman,,,,,,[],,,,
1380487240229474305,1380487240229474305,2021-04-09 14:46:20 Jordan Daylight Time,2021-04-09,14:46:20,+0300,714483660557328384,rumnewsonline,وكالة رم للأنباء,,الصحة: مطعوم فيروس كورونا لا يُبطل الصيام  https://t.co/OTgzUXg4dM #عاجل,ar,[],['http://www.rumonline.net/article/561122#.YHA-f84U9FY.twitter'],[],0,0,0,['عاجل'],[],https://twitter.com/rumnewsonline/status/1380487240229474305,False,,0,,Amman,,,,,,[],,,,
